source_dataset,partition,file_path,file_id,speaker_id,label,label_name,attack_id,duration,sample_rate
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000001.flac,LA_T_1000001,LA_0079,0,bonafide,-,1.0,16000
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000002.flac,LA_T_1000002,LA_0079,1,spoof,A01,1.0,16000
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000003.flac,LA_T_1000003,LA_0079,1,spoof,A02,1.0,16000
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000004.flac,LA_T_1000004,LA_0080,0,bonafide,-,1.0,16000
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000005.flac,LA_T_1000005,LA_0080,1,spoof,A01,1.0,16000
ASVspoof2019_LA,training,data/raw/training/ASVspoof2019_LA_train\flac\LA_T_1000006.flac,LA_T_1000006,LA_0080,1,spoof,A02,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000001.flac,LA_D_2000001,LA_0069,0,bonafide,-,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000002.flac,LA_D_2000002,LA_0069,1,spoof,A01,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000003.flac,LA_D_2000003,LA_0069,1,spoof,A02,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000004.flac,LA_D_2000004,LA_0070,0,bonafide,-,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000005.flac,LA_D_2000005,LA_0070,1,spoof,A03,1.0,16000
ASVspoof2019_LA,development,data/raw/development/ASVspoof2019_LA_dev\flac\LA_D_2000006.flac,LA_D_2000006,LA_0070,1,spoof,A04,1.0,16000
ASVspoof2021_DF_EVAL,eval,data\raw\ASVspoof2021_DF\flac\DF_E_2000001.flac,DF_E_2000001,LA_0039,0,bonafide,-,1.0,16000
ASVspoof2021_DF_EVAL,eval,data\raw\ASVspoof2021_DF\flac\DF_E_2000002.flac,DF_E_2000002,LA_0039,1,spoof,A01,1.0,16000
ASVspoof2021_DF_EVAL,eval,data\raw\ASVspoof2021_DF\flac\DF_E_2000003.flac,DF_E_2000003,LA_0040,1,spoof,A02,1.0,16000
ASVspoof2021_DF_EVAL,eval,data\raw\ASVspoof2021_DF\flac\DF_E_2000004.flac,DF_E_2000004,LA_0041,0,bonafide,-,1.0,16000
ASVspoof2021_DF_EVAL,eval,data\raw\ASVspoof2021_DF\flac\DF_E_2000005.flac,DF_E_2000005,LA_0041,1,spoof,A03,1.0,16000
