file_path,file_id,speaker_id,label,label_name,attack_id,dataset_partition,source_dataset,duration,sample_rate
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1047731.flac,LA_D_1047731,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.4140625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1105538.flac,LA_D_1105538,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.278625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1125976.flac,LA_D_1125976,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.279625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1293230.flac,LA_D_1293230,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.5013125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1340209.flac,LA_D_1340209,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.38675,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1376638.flac,LA_D_1376638,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.3881875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1377420.flac,LA_D_1377420,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.3895625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1403371.flac,LA_D_1403371,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.580125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1590530.flac,LA_D_1590530,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.3246875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1595036.flac,LA_D_1595036,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.555,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1618135.flac,LA_D_1618135,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.38975,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1624385.flac,LA_D_1624385,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.945375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1766721.flac,LA_D_1766721,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.3879375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1833136.flac,LA_D_1833136,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.92725,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1837988.flac,LA_D_1837988,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.9759375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1849134.flac,LA_D_1849134,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.9041875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1865278.flac,LA_D_1865278,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.3215625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1896334.flac,LA_D_1896334,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.0915,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_1911275.flac,LA_D_1911275,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.81325,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2112837.flac,LA_D_2112837,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.705,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2160989.flac,LA_D_2160989,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.342375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2242311.flac,LA_D_2242311,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.436125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2250508.flac,LA_D_2250508,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.5981875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2414004.flac,LA_D_2414004,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.471875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2448116.flac,LA_D_2448116,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.0231875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2462911.flac,LA_D_2462911,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.2810625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2559281.flac,LA_D_2559281,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.3224375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2666979.flac,LA_D_2666979,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.136875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2679014.flac,LA_D_2679014,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.3733125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2789932.flac,LA_D_2789932,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.3835,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2831561.flac,LA_D_2831561,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.98275,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_2954423.flac,LA_D_2954423,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.6694375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3081203.flac,LA_D_3081203,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.49625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3174543.flac,LA_D_3174543,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.5375625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3212286.flac,LA_D_3212286,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.5200625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3232165.flac,LA_D_3232165,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.430875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3258694.flac,LA_D_3258694,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.703625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3315698.flac,LA_D_3315698,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.962125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3369144.flac,LA_D_3369144,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.789875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3404272.flac,LA_D_3404272,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.3059375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3444700.flac,LA_D_3444700,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.407375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3477067.flac,LA_D_3477067,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.028375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3524013.flac,LA_D_3524013,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.9616875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3547565.flac,LA_D_3547565,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.2859375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3552967.flac,LA_D_3552967,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.860875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3726485.flac,LA_D_3726485,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.7683125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3771133.flac,LA_D_3771133,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.8333125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3776953.flac,LA_D_3776953,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.795125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_3806476.flac,LA_D_3806476,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.7591875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4026041.flac,LA_D_4026041,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.3705,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4145630.flac,LA_D_4145630,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.4943125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4228839.flac,LA_D_4228839,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.5376875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4229637.flac,LA_D_4229637,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.2634375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4395169.flac,LA_D_4395169,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.88175,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4443630.flac,LA_D_4443630,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.6654375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4455776.flac,LA_D_4455776,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.5653125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4511951.flac,LA_D_4511951,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.6201875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4517590.flac,LA_D_4517590,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.8085625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4523147.flac,LA_D_4523147,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.5136875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4574058.flac,LA_D_4574058,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.7941875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4621778.flac,LA_D_4621778,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.8584375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4715569.flac,LA_D_4715569,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.137375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4739519.flac,LA_D_4739519,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.4556875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4807096.flac,LA_D_4807096,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.0273125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4930262.flac,LA_D_4930262,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.191875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4935874.flac,LA_D_4935874,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.175125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4949188.flac,LA_D_4949188,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.23875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_4981154.flac,LA_D_4981154,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.8774375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5019937.flac,LA_D_5019937,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.9245625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5240657.flac,LA_D_5240657,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.54175,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5255870.flac,LA_D_5255870,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.3060625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5267249.flac,LA_D_5267249,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.0283125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5278285.flac,LA_D_5278285,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.2869375,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5324608.flac,LA_D_5324608,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.7315625,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5336291.flac,LA_D_5336291,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.4345,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5386683.flac,LA_D_5386683,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.346,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5401591.flac,LA_D_5401591,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.4126875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5431436.flac,LA_D_5431436,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.284,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5445492.flac,LA_D_5445492,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.8155,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5521273.flac,LA_D_5521273,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.4475,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5547400.flac,LA_D_5547400,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.7936875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5575912.flac,LA_D_5575912,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.7691875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5604212.flac,LA_D_5604212,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.119125,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5607743.flac,LA_D_5607743,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,4.5155,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5701193.flac,LA_D_5701193,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,5.3711875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5769965.flac,LA_D_5769965,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.1046875,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5842422.flac,LA_D_5842422,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,2.7225,16000
data\raw\development\ASVspoof2019_LA_dev\flac\LA_D_5855069.flac,LA_D_5855069,LA_0069,0,bonafide,-,development,ASVspoof2019_LA,3.538375,16000
