file_path,original_sample_rate,processed_sample_rate,original_duration,processed_duration,original_channels,processed_channels,original_samples,processed_samples,was_resampled,was_trimmed,was_padded,was_cropped,status,error_message
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000001.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000002.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000003.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000004.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000005.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/training\ASVspoof2019_LA_train\flac\LA_T_1000006.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000001.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000002.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000003.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000004.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000005.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/development\ASVspoof2019_LA_dev\flac\LA_D_2000006.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/ASVspoof2021_DF\flac\DF_E_2000001.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/ASVspoof2021_DF\flac\DF_E_2000002.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/ASVspoof2021_DF\flac\DF_E_2000003.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/ASVspoof2021_DF\flac\DF_E_2000004.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
data/raw/ASVspoof2021_DF\flac\DF_E_2000005.flac,16000,16000,1.0,4.0,1,1,16000,64000,False,True,True,False,SUCCESS,
